"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot"
"R_1P1oNYT2xYTMcdk",2,1,4,3,36,"sam","non-diagnostic","ND1",44,1,1,2,2.5,0.358797054909672
"R_2RWanMv91kT5pmk",2,3,3,3,42,"sam","non-diagnostic","ND1",31,1,7,5,2.75,0.680936570478535
"R_30w46SGso3vKFzu",4,3,5,4,42,"sam","non-diagnostic","ND1",20,2,1,2,4,1.36948286534918
"R_DkPNwyWfwc5Sbf3",5,4,5,4,60,"sam","non-diagnostic","ND1",49,1,7,2,4.5,2.19819215308164
"R_1CBXrv5EDCoNnD2",2,3,3,3,15,"sam","non-diagnostic","ND1",36,1,1,2,2.75,-0.148999584197775
"R_6LjRcjZyR5FW1Fv",3,2,5,3,30,"sam","non-diagnostic","ND1",20,1,5,2,3.25,0.587494575237321
"R_3Fay72eIUtDM1xv",3,2,4,4,35,"sam","non-diagnostic","ND1",32,2,7,2,3.25,0.741186455732934
"R_1rqYMC0yimEDQq7",2,2,4,3,25,"sam","non-diagnostic","ND1",20,2,7,2,2.75,0.158384176793451
"R_2ql7RqvIlkJu8NW",3,3,4,3,37,"sam","non-diagnostic","ND1",20,2,7,2,3.25,0.802663207931179
"R_39HE0xFncMBAKVX",2,2,5,1,25,"sam","non-diagnostic","ND1",19,2,7,2,2.5,0.0206749178193232
"R_rfCgVI37c8c7NM5",1,3,2,4,25,"sam","non-diagnostic","ND1",19,2,7,2,2.5,0.0206749178193232
"R_23TSCAiYrJi35S4",3,3,5,4,50,"sam","non-diagnostic","ND1",26,5,7,5,3.75,1.47768061516803
"R_2QmpDIndBfxz3rU",2,2,4,3,22,"sam","non-diagnostic","ND1",30,2,3,2,2.75,0.0661690484960836
"R_yHIWbABf1YRVXEd",2,2,5,1,23,"sam","non-diagnostic","ND1",18,1,7,5,2.5,-0.040801834378922
"R_2agUXbHTAOGH0yc",2,4,5,3,40,"sam","non-diagnostic","ND1",22,2,7,5,3.5,1.03258759520267
"R_1gOoIIx2Y5fLUIK",2,2,2,1,23,"sam","non-diagnostic","ND1",19,1,7,5,1.75,-0.453929611301306
"R_VWmYsOViIQcGWDD",3,4,5,2,34,"sam","non-diagnostic","ND1",21,2,7,2,3.5,0.848157338607939
"R_1ODcUuhqdmvEHMi",2,2,2,2,20,"sam","non-diagnostic","ND1",21,1,7,2,2,-0.408435480624546
"R_eqR8DtLq1E9e449",3,3,5,4,30,"sam","non-diagnostic","ND1",19,2,5,2,3.75,0.862913093185577
"R_yrsv9rBxRXiLI2Z",4,2,3,2,18,"sam","non-diagnostic","ND1",55,2,7,5,2.75,-0.0567844559004068
"R_29iEg34ZYU3ljrI",1,2,3,3,14,"sam","non-diagnostic","ND1",21,1,2,2,2.25,-0.455156478245153
"R_UxzAy0TQAg8Cx6F",3,3,4,3,38,"sam","non-diagnostic","ND1",24,1,7,2,3.25,0.833401584030301
"R_pyHKqVnpyn8Bqvf",4,4,3,3,50,"sam","non-diagnostic","ND1",18,2,7,2,3.5,1.3399713561939
"R_1EiFXciDcgOO3a6",4,4,4,3,40,"sam","non-diagnostic","ND1",18,1,7,5,3.75,1.1702968541768
"R_1GPUWcdZkesWZZA",2,2,2,2,13,"sam","non-diagnostic","ND1",26,2,7,5,2,-0.623604113318404
"R_xFMjeQWrqQknCEx",3,3,4,3,24,"sam","non-diagnostic","ND1",19,2,7,2,3.25,0.403064318642585
"R_1JURvT1LYjpgSyo",2,2,3,2,24,"sam","non-diagnostic","ND1",19,2,7,2,2.25,-0.147772717253928
"R_2xxYEAosezOlmVP",2,2,4,4,20,"sam","non-diagnostic","ND1",28,1,7,2,3,0.142401555271967
"R_1KegNBsclUc9wWV",2,3,1,3,20,"sam","non-diagnostic","ND1",37,1,7,5,2.25,-0.270726221650418
"R_3lGOU0oRlY5UL6y",2,2,3,2,20,"sam","non-diagnostic","ND1",37,5,1,5,2.25,-0.270726221650418
"R_1M6BBeY56G5xvKU",3,3,4,3,50,"sam","non-diagnostic","ND1",48,1,7,2,3.25,1.20226209721977
"R_2uy2yln0Fi8S0kE",4,4,4,5,50,"sam","non-diagnostic","ND1",50,2,7,5,4.25,1.75309913311629
"R_1Cf1qaAgwCtZfm7",3,3,3,3,7,"sam","non-diagnostic","ND1",21,1,2,2,3,-0.257197334016627
"R_d7r2CHQcggbi9tD",2,3,3,3,11,"sam","non-diagnostic","ND1",18,2,2,2,2.75,-0.271953088594265
"R_2uKesz2Rj28TTYw",3,2,3,2,28,"sam","non-diagnostic","ND1",21,2,2,5,2.5,0.112890046116691
"R_3JlYjKnLetQcN9G",4,4,5,4,51,"sam","non-diagnostic","ND1",21,2,2,2,4.25,1.78383750921541
"R_2SelVDTRQFclsvr",2,1,3,1,22,"sam","non-diagnostic","ND1",22,2,2,3,1.75,-0.484667987400429
"R_V45qKULLVodnKg1",2,2,4,4,19,"sam","non-diagnostic","ND1",19,1,7,2,3,0.111663179172844
"R_1Kp6xGkRAuQtDnL",2,2,2,2,25,"sam","non-diagnostic","ND1",20,2,7,5,2,-0.254743600128933
"R_a4BOpgnmZQcEoo1",1,1,4,4,22,"sam","non-diagnostic","ND1",21,2,7,2,2.5,-0.0715402104780446
"R_2YM3JLYJze6m2Op",1,1,1,1,2,"sam","non-diagnostic","ND1",22,2,1,2,1,-1.51256328630527
"R_33lgEQistJT0IJW",2,4,4,3,23,"sam","non-diagnostic","ND1",22,2,7,5,3.25,0.372325942543462
"R_2BxnaeIB982Zixe",1,1,3,1,0,"sam","non-diagnostic","ND1",27,2,7,2,1.5,-1.29862152055525
"R_eycES3jb9gp9JrH",4,3,4,3,45,"sam","non-diagnostic","ND1",26,1,7,2,3.5,1.18627947569829
"R_2xW6By8FeC1S5Wo",1,1,2,2,22,"sam","non-diagnostic","ND1",20,1,7,2,1.5,-0.622377246374557
"R_ZgXo3UqnUgtKlGh",3,4,3,4,51,"sam","non-diagnostic","ND1",19,2,7,5,3.5,1.37070973229302
"R_2dMxcAuhk5rCiN8",4,5,3,3,33,"sam","non-diagnostic","ND1",34,1,7,2,3.75,0.955128221482945
"R_02Q19AoTYoWtq7v",3,2,4,3,50,"sam","non-diagnostic","ND1",19,2,5,2,3,1.06455283824564
"R_2sdUTUFj7ViNk5e",4,3,4,3,32,"sam","non-diagnostic","ND1",19,2,7,5,3.5,0.786680586409694
"R_2pPsE9C26XjRVfC",2,2,3,3,32,"sam","non-diagnostic","ND1",20,2,2,5,2.5,0.235843550513181
"R_3fdc65bTafMR7jd",2,2,6,3,21,"sam","non-diagnostic","ND1",21,2,5,5,3.25,0.310849190345217
"R_3pm1H1IIaPvzQYk",1,1,3,1,20,"sam","non-diagnostic","ND1",22,1,7,2,1.5,-0.683853998572802
"R_1MNdpw639cE8Tg7",3,3,4,1,25,"sam","non-diagnostic","ND1",22,2,7,5,2.75,0.158384176793451
"R_22VaPsv0YIlW6O7",2,2,2,2,16,"sam","non-diagnostic","ND1",32,2,2,5,2,-0.531388985021036
"R_W1yy1EJIzaX0G6B",2,2,4,3,31,"sam","non-diagnostic","ND1",49,2,2,5,2.75,0.342814433388187
"R_3Gkq8eTViuXbVgp",2,3,3,3,25,"sam","non-diagnostic","ND1",22,2,1,5,2.75,0.158384176793451
"R_zSfGJuEFYiB4ROh",1,1,3,2,10,"sam","non-diagnostic","ND1",24,2,1,5,1.75,-0.8535285005899
"R_3rU5vKp8cC8Eucp",1,1,1,1,12,"sam","non-diagnostic","ND1",20,1,7,2,1,-1.20517952531404
"R_2WU92in0XwKUdQ3",2,2,5,4,14,"sam","non-diagnostic","ND1",19,1,1,2,3.25,0.0956805576513592
"R_aWXPmIO2qxthkqJ",1,4,7,4,31,"sam","non-diagnostic","ND1",21,2,7,2,4,1.03136072825883
"R_2SeRzzTXR2C0HJ3",2,1,3,1,15,"sam","non-diagnostic","ND1",19,2,7,NA,1.75,-0.699836620094287
"R_1JUEl9Pbl27ALrB",1,3,2,3,21,"sam","non-diagnostic","ND1",19,1,7,2,2.25,-0.239987845551295
"R_1FT8ZAeuNiyWIXD",2,3,3,3,38,"sam","non-diagnostic","ND1",19,1,7,2,2.75,0.557983066082045
"R_agcvxTIjnERVV3b",2,2,2,2,19,"sam","non-diagnostic","ND1",22,2,7,5,2,-0.439173856723669
"R_1dtOv4Dbs73RHbE",2,2,3,2,25,"sam","non-diagnostic","ND1",23,1,7,5,2.25,-0.117034341154805
