"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","age","gender","Sample","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot"
"R_3JK2LfHoHoP079u",4,3,2,3,15,"sam","non-diagnostic","ND1",39,1,"student",5,2,3,-4.27151298116599
"R_1Nfcv1tCenz3YJc",7,7,7,7,89,"sam","non-diagnostic","ND1",32,2,"student",7,5,7,0.722689233850052
"R_C7xoktiIBc6WV57",7,7,7,7,100,"sam","non-diagnostic","ND1",19,2,"student",7,5,7,1.13604964529934
"R_w1Y5JlwRyJzLssx",7,7,7,7,94,"sam","non-diagnostic","ND1",20,1,"student",1,2,7,0.910580329963364
"R_3lYnZr5BcWBT8wk",6,6,6,6,62,"sam","non-diagnostic","ND1",51,1,"student",7,2,6,-0.84527618329659
"R_3NIiE6GGudXdz7Y",7,7,7,7,100,"sam","non-diagnostic","ND1",18,2,"student",4,2,7,1.13604964529934
"R_3VN4mnsuvV4lisF",7,7,4,7,75,"sam","non-diagnostic","ND1",56,2,"student",2,5,6.25,-0.218420958868289
"R_Y60GbYK8v9Wk7YJ",6,5,6,6,75,"sam","non-diagnostic","ND1",30,1,"student",7,5,5.75,-0.495097707935665
"R_1HhIJke1oz0JlhS",7,7,7,7,85,"sam","non-diagnostic","ND1",54,2,"student",2,5,7,0.572376356959401
"R_1ezPSXdbAyey6Ss",7,7,7,7,100,"sam","non-diagnostic","ND1",57,2,"student",7,5,7,1.13604964529934
"R_XEWdlylUzYSs5LX",6,6,4,6,71,"sam","non-diagnostic","ND1",28,1,"student",7,5,5.5,-0.783748959360003
"R_s6hx6eTLFcdsgsV",5,6,5,6,62,"sam","non-diagnostic","ND1",20,2,"student",7,5,5.5,-1.12195293236397
"R_6PTK9Yeq2tV29AR",7,7,7,7,100,"sam","non-diagnostic","ND1",22,1,"student",7,5,7,1.13604964529934
"R_1rcgtsX6k6GGg4Z",6,6,6,6,77,"sam","non-diagnostic","ND1",23,2,"student",7,2,6,-0.281602894956652
"R_6JS3kR4N5cEEKGd",7,7,7,7,100,"sam","non-diagnostic","ND1",21,2,"student",7,2,7,1.13604964529934
"R_0jr9hSPEj4blmIF",7,7,7,7,100,"sam","non-diagnostic","ND1",67,2,"student",7,2,7,1.13604964529934
"R_3J5e6n3qvjiOzHf",7,7,7,7,79,"sam","non-diagnostic","ND1",19,2,"student",7,2,7,0.346907041623426
"R_9FyMAvGtSgfILBL",7,7,1,7,87,"sam","non-diagnostic","ND1",20,2,"student",7,2,5.5,-0.182497451797403
"R_115vCYbwZ0Y8TiC",6,6,5,5,75,"sam","non-diagnostic","ND1",19,2,"student",5,2,5.5,-0.633436082469353
"R_1op9oGYc6RvrqwE",6,7,6,6,91,"sam","non-diagnostic","ND1",26,2,"student",7,5,6.25,0.382830548694312
"R_2U9tlG0USs1BGmp",7,7,7,7,100,"sam","non-diagnostic","ND1",19,1,"student",7,2,7,1.13604964529934
"R_1lgGf2DGVwrpOaK",7,6,6,6,80,"sam","non-diagnostic","ND1",22,3,"student",7,5,6.25,-0.0305298627549759
"R_1r8G3Ayo6EWkpi8",6,6,7,6,95,"sam","non-diagnostic","ND1",19,2,"student",7,2,6.25,0.533143425584962
"R_2QyXT9xOOrndf7W",5,5,5,6,75,"sam","non-diagnostic","ND1",20,1,"student",7,2,5.25,-0.771774457003041
"R_3nuCD0LdfoOmtw0",6,6,6,6,90,"sam","non-diagnostic","ND1",20,2,"student",7,2,6,0.206913954937961
"R_3Gfcd9lMv0VgqM4",7,7,7,7,100,"sam","non-diagnostic","ND1",19,2,"student",1,2,7,1.13604964529934
"R_1CmwgqeRuEBMdJr",6,6,6,6,81,"sam","non-diagnostic","ND1",23,2,"student",7,5,6,-0.131290018066002
"R_3n0oZQo5XbLwwpY",7,6,7,7,90,"sam","non-diagnostic","ND1",20,2,"student",6,5,6.75,0.621929078539026
"R_1JQneh7WYtoUKiZ",7,7,7,7,95,"sam","non-diagnostic","ND1",20,2,"student",7,2,7,0.948158549186027
"R_25NEHa35tJPGtRD",6,6,6,6,89,"sam","non-diagnostic","ND1",20,1,"student",5,2,6,0.169335735715299
"R_2wvIHKZFZp68kGZ",6,6,6,5,80,"sam","non-diagnostic","ND1",22,1,"student",7,2,5.75,-0.307206611822352
"R_9uwp9ZImaTcu2Rz",5,6,5,3,61,"sam","non-diagnostic","ND1",26,2,"student",7,5,4.75,-1.57454627518769
"R_10ufUqES8mj4rY4",7,7,7,7,100,"sam","non-diagnostic","ND1",19,2,"student",7,2,7,1.13604964529934
"R_9NxU5O08jsTIjsd",7,7,5,5,72,"sam","non-diagnostic","ND1",20,2,"student",5,5,6,-0.469493991069964
"R_3kBX9VQFe0Y1W8i",7,7,7,7,100,"sam","non-diagnostic","ND1",21,2,"student",2,5,7,1.13604964529934
"R_21tgUGZdqmbeQI5",6,6,6,6,70,"sam","non-diagnostic","ND1",22,2,"student",7,2,6,-0.54465042951529
"R_2dutJO2tNVmNLzu",7,7,4,7,100,"sam","non-diagnostic","ND1",25,1,"student",7,2,6.25,0.721034521698275
"R_2EjmEltIIzpATx3",7,7,7,7,100,"sam","non-diagnostic","ND1",38,2,"student",7,2,7,1.13604964529934
"R_2rYKTNS5kj0eMRi",6,6,6,6,86,"sam","non-diagnostic","ND1",22,2,"student",7,2,6,0.0566010780473111
"R_3RxaihGpvXCJHo4",7,7,7,7,100,"sam","non-diagnostic","ND1",20,1,"student",7,2,7,1.13604964529934
"R_2uyYdGHTH9QbywF",7,7,7,7,100,"sam","non-diagnostic","ND1",28,2,"student",7,2,7,1.13604964529934
"R_2AZmhoe0rPEF3kC",6,6,6,6,90,"sam","non-diagnostic","ND1",52,2,"student",7,5,6,0.206913954937961
"R_37qiyDPH0TmogF3",7,7,7,7,100,"sam","non-diagnostic","ND1",22,1,"student",3,2,7,1.13604964529934
"R_3qEx6tFB9ev1Bqk",7,7,6,7,95,"sam","non-diagnostic","ND1",30,1,"student",5,2,6.75,0.809820174652339
"R_bxElUOD6kAgTw8V",7,7,7,7,100,"sam","non-diagnostic","ND1",21,2,"student",7,2,7,1.13604964529934
"R_1k0MklkhGC4woLe",7,7,7,7,95,"sam","non-diagnostic","ND1",51,5,"student",7,5,7,0.948158549186027
"R_3s5Kp63FyvbeKPf",7,7,7,7,100,"sam","non-diagnostic","ND1",21,1,"student",7,2,7,1.13604964529934
"R_3iPDViX7hhAgafu",7,7,7,6,94,"sam","non-diagnostic","ND1",18,2,"student",7,5,6.75,0.772241955429676
"R_12eWtdzo1O92cqy",7,7,7,7,100,"sam","non-diagnostic","ND1",20,2,"student",7,5,7,1.13604964529934
"R_3RsyOFX2NzT72Ub",7,7,6,7,100,"sam","non-diagnostic","ND1",24,2,"student",7,2,6.75,0.997711270765651
"R_2UgXvEbCxOxsaFi",4,5,4,6,60,"sam","non-diagnostic","ND1",25,2,"student",7,5,4.75,-1.61212449441036
"R_22mhD0Kz9k9D4zC",6,5,6,6,86,"sam","non-diagnostic","ND1",36,2,"student",7,5,5.75,-0.0817372964863771
"R_1g5OEHM2T3g9o6h",5,6,4,5,91,"sam","non-diagnostic","ND1",46,1,"student",NA,2,5,-0.308861323974129
"R_3qkunv0pnJ2tmi6",7,7,7,7,100,"sam","non-diagnostic","ND1",22,1,"student",7,5,7,1.13604964529934
"R_W0CxQdW7Ky3cXF7",6,6,6,5,85,"sam","non-diagnostic","ND1",21,2,"student",7,2,5.75,-0.11931551570904
"R_1H1RgmsRQQb0Uxt",6,7,6,7,93,"sam","non-diagnostic","ND1",35,2,"student",7,2,6.5,0.596325361673325
"R_2VwPrBpFcf3DMJq",7,7,7,7,100,"sam","non-diagnostic","ND1",32,1,"student",5,2,7,1.13604964529934
"R_2QAhGJ14eIVU14o",7,7,7,5,77,"sam","non-diagnostic","ND1",21,1,"student",1,5,6.5,-0.00492614588927536
"R_3p3C8UJZR0yDLl7",6,6,7,6,90,"sam","non-diagnostic","ND1",21,2,"student",7,5,6.25,0.34525232947165
"R_3kAm9Cfpsttps9s",7,7,7,7,98,"sam","non-diagnostic","ND1",48,2,"student",5,2,7,1.06089320685401
"R_23U1x70NRuU1GrG",6,6,2,2,76,"sam","non-diagnostic","ND1",42,2,"student",7,2,4,-1.42588811044882
"R_a9p5BDxhhrNqxhL",7,7,7,7,100,"sam","non-diagnostic","ND1",22,2,"student",5,5,7,1.13604964529934
"R_1g0hXHBjHHAeQjB",7,7,5,7,97,"sam","non-diagnostic","ND1",37,1,"student",5,2,6.5,0.746638238563975
"R_3dRInx1BnHpJ0J7",7,7,7,6,86,"sam","non-diagnostic","ND1",18,2,"student",5,2,6.75,0.471616201648376
"R_2Ysa52R6MKsUIA3",7,7,7,7,100,"sam","non-diagnostic","ND1",19,2,"student",7,5,7,1.13604964529934
"R_2SidANRZ2HZGxJF",5,7,5,7,76,"sam","non-diagnostic","ND1",19,1,"student",7,2,6,-0.319181114179314
"R_10IMPU83y773OT8",7,7,7,7,100,"sam","non-diagnostic","ND1",20,2,"student",5,2,7,1.13604964529934
"R_3O63fxV3Vho29Cy",7,7,7,7,90,"sam","non-diagnostic","ND1",19,2,"student",7,5,7,0.760267453072714
"R_dmvayWsCRtxlk0p",7,7,7,7,91,"sam","non-diagnostic","ND1",22,2,"student",7,2,7,0.797845672295377
"R_Q9AIJcS2wIEyWU9",7,7,7,7,97,"sam","non-diagnostic","ND1",20,1,"student",7,2,7,1.02331498763135
"R_1dy6TVuVbiayDkX",6,6,6,6,86,"sam","non-diagnostic","ND1",25,2,"student",7,5,6,0.0566010780473111
"R_5bSCsYbkvcBg4GB",7,7,7,7,100,"sam","non-diagnostic","ND1",23,2,"student",7,5,7,1.13604964529934
"R_9TCfxdWvYp6ObBv",7,7,7,7,100,"sam","non-diagnostic","ND1",18,2,"student",2,5,7,1.13604964529934
"R_2V2U9rLez29dUn4",6,6,5,6,70,"sam","non-diagnostic","ND1",20,1,"student",7,5,5.75,-0.682988804048978
"R_1DokquMlOYvUKmV",7,7,6,6,91,"sam","non-diagnostic","ND1",22,2,"student",7,2,6.5,0.521168923228
"R_3h6DL3PHgovu9XU",7,5,7,7,75,"sam","non-diagnostic","ND1",22,2,"student",7,2,6.5,-0.0800825843346004
"R_yDdRYrzZ1iPgX9D",7,7,7,7,100,"sam","non-diagnostic","ND1",20,2,"student",7,2,7,1.13604964529934
"R_25XxPHKOo9NTJVy",7,6,5,6,88,"sam","non-diagnostic","ND1",20,1,"student",7,2,6,0.131757516492636
"R_3e8l0KG3tgISb2q",7,7,7,7,91,"sam","non-diagnostic","ND1",21,2,"student",1,5,7,0.797845672295377
"R_R9XVs5S1eM3Zg3L",7,7,7,7,100,"sam","non-diagnostic","ND1",18,1,"student",5,2,7,1.13604964529934
"R_31cJHAxalzp8Z4Y",6,5,5,6,82,"sam","non-diagnostic","ND1",47,2,"student",7,2,5.5,-0.370388547910715
"R_2R7UdB4N2T36bw2",7,7,7,7,100,"sam","non-diagnostic","ND1",21,2,"student",6,5,7,1.13604964529934
"R_1hQiowW00hM4Cgg",7,7,7,7,100,"sam","non-diagnostic","ND1",21,2,"student",2,2,7,1.13604964529934
"R_24o3sVLeyMrAr1q",6,6,6,6,71,"sam","non-diagnostic","ND1",22,2,"student",2,2,6,-0.507072210292627
"R_2Y4BhutgUIkA2yp",7,7,7,6,83,"sam","non-diagnostic","ND1",21,2,"student",7,2,6.75,0.358881543980388
"R_vwdiP3BfF76Ulj3",7,7,7,7,81,"sam","non-diagnostic","ND1",42,1,"student",2,5,7,0.422063480068751
"R_2zoLhmJJ2alwktA",7,7,1,7,99,"sam","non-diagnostic","ND1",57,2,"student",5,5,5.5,0.268441178874548
"R_1IhNcQCfPce5mAq",7,7,7,7,81,"sam","non-diagnostic","ND1",23,2,"student",7,2,7,0.422063480068751
"R_1QA7hZEP3QjBpr5",7,7,7,7,95,"sam","non-diagnostic","ND1",21,2,"student",7,5,7,0.948158549186027
"R_3HOeEkQXIGiw19p",5,5,5,5,80,"sam","non-diagnostic","ND1",22,2,"student",7,5,5,-0.722221735423417
"R_Tk22YOHqPILuxI5",6,5,6,6,81,"sam","non-diagnostic","ND1",26,2,"student",7,2,5.75,-0.26962839259969
"R_3qlGv8tJnBlyANz",6,6,7,6,85,"sam","non-diagnostic","ND1",21,2,"student",6,2,6.25,0.157361233358337
"R_xrP3Fbhn8IIB6QF",6,6,6,5,93,"sam","non-diagnostic","ND1",42,1,"student",5,2,5.75,0.181310238072261
"R_1dgCOI9Vz7A1R4K",6,6,6,6,90,"sam","non-diagnostic","ND1",33,1,"student",7,2,6,0.206913954937961
"R_1jK6vF2lqRYk1s4",7,7,6,6,85,"sam","non-diagnostic","ND1",35,2,"student",7,5,6.5,0.295699607892025
"R_3nfrEgS6QdnhFZO",6,6,6,6,80,"sam","non-diagnostic","ND1",22,2,"student",7,5,6,-0.168868237288664
"R_10wlW0iacweyD64",7,7,7,7,100,"sam","non-diagnostic","ND1",25,2,"student",2,2,7,1.13604964529934
"R_51ObagQAb9RFoGZ",6,6,6,6,76,"sam","non-diagnostic","ND1",23,2,"student",7,5,6,-0.319181114179314
"R_1rokluiFfwFbGVU",7,7,7,7,90,"sam","non-diagnostic","ND1",30,2,"student",2,5,7,0.760267453072714
"R_2UbCGNlSB7bJ1ce",7,7,7,7,94,"sam","non-diagnostic","ND1",31,2,"student",7,2,7,0.910580329963364
"R_bfJEG3NObHIh5MB",7,7,7,7,100,"sam","non-diagnostic","ND1",19,1,"student",1,5,7,1.13604964529934
"R_8wsSyht741JywIF",7,7,7,6,82,"sam","non-diagnostic","ND1",28,2,"student",2,2,6.75,0.321303324757725
"R_zYbkzt5IVmxRXUd",6,5,5,6,75,"sam","non-diagnostic","ND1",20,2,"student",2,2,5.5,-0.633436082469353
"R_25ZKKsCLx3ofQB1",6,6,6,6,75,"sam","non-diagnostic","ND1",49,2,"student",7,5,6,-0.356759333401977
"R_1IMe8bZt1s3d6mC",7,6,6,7,90,"sam","non-diagnostic","ND1",22,1,"student",7,2,6.5,0.483590704005338
"R_ahQjWtFns8C8Wkh",7,7,7,7,100,"sam","non-diagnostic","ND1",19,2,"student",7,2,7,1.13604964529934
"R_1d0Qvn0PdwUd975",5,5,4,5,50,"sam","non-diagnostic","ND1",27,1,"student",7,2,4.75,-1.98790668663698
"R_1d0MtUFpoTdLFdi",5,6,7,7,96,"sam","non-diagnostic","ND1",34,1,"student",2,5,6.25,0.570721644807625
"R_31vpeZidtYDLJV9",7,7,7,7,100,"sam","non-diagnostic","ND1",18,1,"student",2,2,7,1.13604964529934
"R_1rBVZJuF2t6WxDE",7,7,7,7,96,"sam","non-diagnostic","ND1",21,2,"student",7,2,7,0.985736768408689
