"StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consentQ","age","gender","gender_4_TEXT","S_M_R_1","S_M_R_2","S_M_R_3","S_M_R_4","S_M_M_1","J_ND1_R_1","J_ND1_R_2","J_ND1_R_3","J_ND1_R_4","J_ND1_M_1","C_ND2_R_1","C_ND2_R_2","C_ND2_R_3","C_ND2_R_4","C_ND2_M_1","F_M_R_1","F_M_R_2","F_M_R_3","F_M_R_4","F_M_M_1","A_M_R_1","A_M_R_2","A_M_R_3","A_M_R_4","A_M_M_1","R_M_R_1","R_M_R_2","R_M_R_3","R_M_R_4","R_M_M_1","attn_chk_1Q","attn_chk_2_Q"
2022-01-31 06:47:57,2022-01-31 06:50:05,100,128,TRUE,2022-01-31 06:50:05,"R_30cTFvBwJnKjZ6H",NA,NA,NA,NA,"anonymous","EN","Yes",48,"Male",NA,4,5,4,5,77,4,5,5,5,67,4,5,4,6,74,4,5,4,5,71,4,5,4,5,67,4,5,4,5,65,"None of the above","Soccer"
2022-01-31 06:45:36,2022-01-31 06:50:07,100,271,TRUE,2022-01-31 06:50:08,"R_a5US9emhxy4nyEN",NA,NA,NA,NA,"anonymous","EN","Yes",42,"Male",NA,2,2,4,3,10,4,4,4,4,50,4,4,4,4,50,2,2,4,3,12,1,1,1,1,3,1,1,1,1,3,"None of the above","Soccer"
2022-01-31 06:46:26,2022-01-31 06:50:09,100,222,TRUE,2022-01-31 06:50:09,"R_3pa6k5zMq9jQogs",NA,NA,NA,NA,"anonymous","EN","Yes",48,"Female",NA,6,5,6,6,80,6,5,6,5,78,5,6,5,6,77,6,5,6,6,83,6,5,6,5,72,5,6,7,6,87,"None of the above","Soccer"
2022-01-31 06:45:56,2022-01-31 06:50:09,100,253,TRUE,2022-01-31 06:50:10,"R_3oZO7cyNweUz0TA",NA,NA,NA,NA,"anonymous","EN","Yes",27,"Male",NA,1,1,2,2,5,4,4,4,4,50,4,4,4,4,50,1,1,3,4,20,1,1,2,1,0,1,1,1,1,0,"None of the above","Soccer"
2022-01-31 06:45:54,2022-01-31 06:50:11,100,257,TRUE,2022-01-31 06:50:11,"R_WkRQk7ugHNLXHW1",NA,NA,NA,NA,"anonymous","EN","Yes",48,"Male",NA,7,6,6,7,72,7,6,7,7,73,7,6,6,7,81,7,6,5,6,86,7,6,5,6,0,7,6,5,5,81,"Happy","Baseball"
2022-01-31 06:46:23,2022-01-31 06:50:17,100,233,TRUE,2022-01-31 06:50:17,"R_3KHcHgJlxyoILW9",NA,NA,NA,NA,"anonymous","EN","Yes",24,"Female",NA,6,5,6,5,83,6,5,6,5,89,6,5,6,5,85,6,5,6,5,83,6,5,6,5,82,6,5,5,6,83,"Sad","Basketball"
2022-01-31 06:46:30,2022-01-31 06:50:17,100,227,TRUE,2022-01-31 06:50:17,"R_273FtY9olgnrzap",NA,NA,NA,NA,"anonymous","EN","Yes",42,"Male",NA,1,2,3,2,17,4,4,4,4,50,4,4,4,4,50,2,2,2,2,30,2,2,2,2,25,2,2,2,2,29,"None of the above","Soccer"
2022-01-31 06:46:25,2022-01-31 06:50:18,100,233,TRUE,2022-01-31 06:50:19,"R_Ce6AaReH1PfZDH3",NA,NA,NA,NA,"anonymous","EN","Yes",45,"Female",NA,5,6,7,6,75,4,5,7,7,67,5,6,6,7,78,5,7,6,5,70,4,5,6,7,81,4,6,4,4,66,"None of the above","Swimming"
2022-01-31 06:45:56,2022-01-31 06:50:19,100,262,TRUE,2022-01-31 06:50:19,"R_1n6oQo48Ui7otsZ",NA,NA,NA,NA,"anonymous","EN","Yes",25,"Male",NA,5,6,7,7,81,7,6,5,6,86,6,7,7,6,80,7,6,7,7,90,7,6,7,6,81,7,6,5,6,87,"None of the above","Basketball"
2022-01-31 06:47:52,2022-01-31 06:50:21,100,149,TRUE,2022-01-31 06:50:22,"R_2ccrYxGlz48Zzsb",NA,NA,NA,NA,"anonymous","EN","Yes",44,"Female",NA,3,3,4,3,37,6,5,5,5,80,5,5,5,5,82,1,1,3,2,21,1,1,3,2,16,1,1,1,1,10,"None of the above","Swimming"
